"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.084500,-0.250436,0.044552,-1.142069,-0.005942,0.012541,0.003163,0.003811,-0.001053
0.085000,-0.274561,0.065924,-1.107625,-0.005998,0.013109,0.003336,0.002514,-0.000080
0.085500,-0.264464,0.080970,-1.097566,-0.006064,0.012631,0.003397,0.001866,-0.002026
0.086000,-0.242397,0.086703,-1.138983,-0.006285,0.012923,0.003264,0.001866,0.000893
0.086500,-0.250570,0.060714,-1.133201,-0.006469,0.012954,0.002945,0.002838,0.000244
0.087000,-0.262481,0.084438,-1.104707,-0.006469,0.013147,0.003400,0.003811,-0.001377
0.087500,-0.268376,0.067062,-1.110252,-0.006273,0.012965,0.003645,0.003163,0.002838
0.088000,-0.280509,0.066839,-1.124515,-0.006839,0.012932,0.003383,0.002838,-0.001377
0.088500,-0.264525,0.073654,-1.122124,-0.006579,0.012532,0.003137,0.002838,-0.001053
0.089000,-0.278494,0.075320,-1.147743,-0.006281,0.012885,0.003360,0.002514,0.003487
0.089500,-0.296579,0.055501,-1.099867,-0.006134,0.012963,0.003493,0.003163,0.000568
0.090000,-0.276383,0.064834,-1.147099,-0.006427,0.013044,0.003611,0.002190,-0.000080
0.090500,-0.256253,0.079005,-1.153699,-0.005939,0.012946,0.003708,0.002190,-0.001053
0.091000,-0.260384,0.071636,-1.137911,-0.006354,0.012866,0.003449,0.000568,-0.002026
0.091500,-0.256309,0.078583,-1.127668,-0.006691,0.013008,0.003621,0.002838,-0.000080
0.092000,-0.278369,0.070822,-1.129765,-0.006156,0.013021,0.003727,0.002838,-0.003647
0.092500,-0.276456,0.071721,-1.134173,-0.006392,0.012820,0.003443,0.002190,-0.000080
0.093000,-0.272536,0.055030,-1.124988,-0.006345,0.012390,0.003156,0.002838,-0.001377
0.093500,-0.266536,0.077312,-1.104933,-0.006320,0.012676,0.003225,0.003811,-0.002350
0.094000,-0.278542,0.059024,-1.107105,-0.005796,0.013049,0.003418,0.003811,0.001217
0.094500,-0.260484,0.069261,-1.097806,-0.005940,0.012777,0.003340,0.002838,-0.002026
